,Id,Title,Ww_gross,Dom_gross,Fore_gross,Year,Descriptions,Rating_cnt,Best_rating,Worst_rating,Rating_value,Content_rating,Release,Keywords,Runtime,Genre1,Genre2,Genre3,Actor1,Actor2,Actor3,Director1,Director2,Director3,Creator1,Creator2,Creator3
239,tt4777008,Maleficent: Mistress of Evil,491730089,113929605,377800484,2019,""": ""Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play."",
  ",110874,10,1,6.6,PG,2019-10-18," female protagonist,queen,villainess,fairy,kingdom",1H59M,"""Adventure""","""Family""","""Fantasy""","""AngelinaJolie""","""ElleFanning""","""HarrisDickinson""","""JoachimR\\u00f8nning""",,,"""LindaWoolverton""","""NoahHarpster""","""MicahFitzerman-Blue"""
240,tt3450958,War for the Planet of the Apes,490719763,146880162,343839601,2017,""": ""After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind."",
  ",266663,10,1,7.4,PG-13,2017-07-14," ape,planet of the apes,slave labour,battle,journey",2H20M,"""Action""","""Adventure""","""Drama""","""AndySerkis""","""WoodyHarrelson""","""SteveZahn""","""MattReeves""",,,"""MarkBomback""","""MattReeves""","""RickJaffa"""
241,tt0126029,Shrek,488441368,268163011,220278357,2001,""": ""A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."",
  ",700481,10,1,7.9,PG,2001-05-18," onion,epic,shrek character,exploding animal,ethnic cleansing",1H30M,"""Animation""","""Adventure""","""Comedy""","""MikeMyers""","""EddieMurphy""","""CameronDiaz""","""AndrewAdamson""","""VickyJenson""",,"""WilliamSteig""","""TedElliott""","""TerryRossio"""
242,tt0356910,Mr. & Mrs. Smith,487287646,186336279,300951367,2005,""": ""A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other."",
  ",512052,10,1,6.5,PG-13,2005-06-10," secret agent,character names as title,wife hits husband,pump action shotgun,tough girl",2H,"""Action""","""Comedy""","""Crime""","""BradPitt""","""AngelinaJolie""","""AdamBrody""","""DougLiman""",,,"""SimonKinberg""",,
243,tt0808151,Angels & Demons,485930816,133375846,352554970,2009,""": null,
  ",300719,10,1,6.7,PG-13,2009-05-15," illuminati,reference to bernini,reference to raphael,murder of a priest,psychotronic film",2H18M,"""Action""","""Mystery""","""Thriller""","""TomHanks""","""EwanMcGregor""","""AyeletZurer""","""RonHoward""",,,"""DavidKoepp""","""AkivaGoldsman""","""DanBrown"""
244,tt1291150,Teenage Mutant Ninja Turtles,485004754,191204754,293800000,2014,""": ""When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home."",
  ",214557,10,1,5.8,PG-13,2014-08-08," turtle,ninja,sewer,mutant,18 wheeler",1H41M,"""Action""","""Adventure""","""Comedy""","""MeganFox""","""WillArnett""","""WilliamFichtner""","""JonathanLiebesman""",,,"""JoshAppelbaum""","""Andr\\u00e9Nemec""","""EvanDaugherty"""
245,tt0315327,Bruce Almighty,484592874,242829261,241763613,2003,""": ""A whiny news reporter is given the chance to step into God&apos;s shoes."",
  ",416100,10,1,6.8,PG-13,2003-05-23," supernatural power,divine intervention,magic,reference to god,title spoken by character",1H41M,"""Comedy""","""Fantasy""",,"""JimCarrey""","""JenniferAniston""","""MorganFreeman""","""TomShadyac""",,,"""SteveKoren""","""MarkO&apos;Keefe""","""SteveOedekerk"""
246,tt1504320,The King's Speech,484068861,138797449,345271412,2010,""": null,
  ",691847,10,1,8.0,R,2010-12-25," king george vi,period drama,speech impediment,british royal family,royal family",1H58M,"""Biography""","""Drama""","""History""","""ColinFirth""","""GeoffreyRush""","""HelenaBonhamCarter""","""TomHooper""",,,"""DavidSeidler""",,
247,tt1436562,Rio,483866772,143619809,340246963,2011,""": ""When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams."",
  ",236870,10,1,6.9,PG,2011-04-15," brazil,snow adventure,bird,macaw,ornithologist",1H36M,"""Animation""","""Adventure""","""Comedy""","""JesseEisenberg""","""AnneHathaway""","""GeorgeLopez""","""CarlosSaldanha""",,,"""CarlosSaldanha""","""EarlRicheyJones""","""ToddR.Jones"""
248,tt0120815,Saving Private Ryan,482349603,217049603,265300000,1998,""": null,
  ",1423313,10,1,8.6,R,1998-07-24," world war two,rescue mission,d day,year 1944,u.s. army",2H49M,"""Drama""","""War""",,"""TomHanks""","""MattDamon""","""TomSizemore""","""StevenSpielberg""",,,"""RobertRodat""",,
